symbol,expiration,strike,right,timestamp,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price
AAPL,20190118,152.5,PUT,2019-01-15T09:31:00,2.95,3.05,-0.6732,-0.2371,5.1352,-0.934,0.9071,-33.7567,0.0814,0.5546,-9.9286,3.5433,0.0451,0.0,0.0,0.0,-0.0071,-31.7776,-0.4487,-0.4782,0.6836,0.0,0.311,-0.0001,2019-01-15T09:31:00,150.4
AAPL,20190118,152.5,PUT,2019-01-15T09:32:00,3.0,3.1,-0.6724,-0.242,5.1385,-0.933,0.9057,-33.1571,0.08,0.543,-9.9025,3.4519,0.0447,0.0,0.0,0.0,-0.0072,-30.4063,-0.4466,-0.4766,0.683,0.0,0.3168,-0.0001,2019-01-15T09:32:00,150.37
AAPL,20190118,152.5,PUT,2019-01-15T09:33:00,3.0,3.1,-0.6785,-0.236,5.0973,-0.9407,0.9134,-33.4413,0.0807,0.5666,-10.1619,3.7366,0.0456,0.0,0.0,0.0,-0.0071,-33.2629,-0.4635,-0.493,0.6888,0.0,0.3117,0.0,2019-01-15T09:33:00,150.33
AAPL,20190118,152.5,PUT,2019-01-15T09:34:00,3.0,3.1,-0.677,-0.2374,5.1068,-0.9386,0.9113,-33.3786,0.0806,0.5609,-10.102,3.6659,0.0454,0.0,0.0,0.0,-0.0071,-32.5521,-0.4594,-0.489,0.6874,0.0,0.3129,-0.0001,2019-01-15T09:34:00,150.34
AAPL,20190118,152.5,PUT,2019-01-15T09:35:00,2.85,2.92,-0.6598,-0.2408,5.2208,-0.9151,0.8893,-34.492,0.0829,0.5216,-9.3412,3.0615,0.0437,0.0,0.0,0.0,-0.0072,-27.8739,-0.4119,-0.4413,0.6703,0.0,0.31,0.0001,2019-01-15T09:35:00,150.57
AAPL,20190118,152.5,PUT,2019-01-15T09:36:00,2.71,2.76,-0.6421,-0.2448,5.3259,-0.8909,0.8665,-35.4765,0.0848,0.4758,-8.5184,2.4717,0.0418,0.0,0.0,0.0,-0.0073,-22.9293,-0.3641,-0.3933,0.6528,0.0,0.3085,-0.0002,2019-01-15T09:36:00,150.79
AAPL,20190118,152.5,PUT,2019-01-15T09:37:00,2.45,2.51,-0.6064,-0.2546,5.5016,-0.8426,0.8204,-36.9752,0.0868,0.3715,-6.7556,1.4346,0.0377,0.0,0.0,0.0,-0.0076,-13.5674,-0.2699,-0.2992,0.6174,0.0,0.3098,-0.0001,2019-01-15T09:37:00,151.2
AAPL,20190118,152.5,PUT,2019-01-15T09:38:00,2.56,2.6,-0.6241,-0.2479,5.4198,-0.8662,0.8432,-36.5456,0.0866,0.4274,-7.6482,1.9321,0.0399,0.0,0.0,0.0,-0.0074,-18.2626,-0.3164,-0.3454,0.6349,0.0,0.3066,-0.0003,2019-01-15T09:38:00,151.01
AAPL,20190118,152.5,PUT,2019-01-15T09:39:00,2.48,2.53,-0.6101,-0.2532,5.4842,-0.8473,0.8249,-36.8986,0.0868,0.3835,-6.9501,1.5341,0.0381,0.0,0.0,0.0,-0.0075,-14.5103,-0.2797,-0.309,0.6212,0.0,0.309,-0.0001,2019-01-15T09:39:00,151.16
AAPL,20190118,152.5,PUT,2019-01-15T09:40:00,2.48,2.54,-0.6146,-0.2502,5.464,-0.853,0.8305,-36.9957,0.0872,0.3995,-7.1745,1.6637,0.0387,0.0,0.0,0.0,-0.0074,-15.8195,-0.2914,-0.3204,0.6255,0.0,0.3066,0.0002,2019-01-15T09:40:00,151.12
