symbol,expiration,strike,right,timestamp,bid,ask,delta,theta,vega,rho,epsilon,lambda,gamma,vanna,charm,vomma,veta,vera,speed,zomma,color,ultima,d1,d2,dual_delta,dual_gamma,implied_vol,iv_error,underlying_timestamp,underlying_price
SPY,20190111,256.0,PUT,2019-01-11T09:31:00,0.32,0.33,-0.2344,-1.3143,2.1514,-0.0449,0.0447,-189.0241,0.1322,-0.663,147.4666,3.3654,-0.0018,0.0,0.0,0.0,-0.0002,-25.2349,0.7241,0.7151,0.2372,0.0,0.331,-0.0011,2019-01-11T09:31:00,257.66
SPY,20190111,256.0,PUT,2019-01-11T09:32:00,0.34,0.35,-0.2477,-1.3472,2.213,-0.0473,0.0471,-187.1475,0.1373,-0.6463,143.2261,3.0826,-0.0018,0.0,0.0,0.0,-0.0002,-23.8082,0.6815,0.6726,0.2505,0.0,0.3291,0.0028,2019-01-11T09:32:00,257.55
SPY,20190111,256.0,PUT,2019-01-11T09:33:00,0.35,0.37,-0.256,-1.3929,2.2487,-0.0488,0.0485,-182.686,0.1379,-0.6228,140.4044,2.8525,-0.0017,0.0,0.0,0.0,-0.0002,-22.0059,0.6554,0.6463,0.259,0.0,0.3339,0.0027,2019-01-11T09:33:00,257.51
SPY,20190111,256.0,PUT,2019-01-11T09:34:00,0.31,0.32,-0.2277,-1.3099,2.1089,-0.0433,0.0431,-189.7719,0.1294,-0.6665,150.7705,3.4746,-0.0018,0.0,0.0,0.0,-0.0002,-25.4875,0.7463,0.7372,0.2304,0.0,0.3339,-0.0023,2019-01-11T09:34:00,257.72
SPY,20190111,256.0,PUT,2019-01-11T09:35:00,0.3,0.32,-0.228,-1.3166,2.1081,-0.0432,0.043,-189.3717,0.1293,-0.6641,151.0502,3.4518,-0.0018,0.0,0.0,0.0,-0.0002,-25.2649,0.7451,0.736,0.2308,0.0,0.3349,0.0013,2019-01-11T09:35:00,257.72
SPY,20190111,256.0,PUT,2019-01-11T09:36:00,0.32,0.34,-0.2382,-1.358,2.1562,-0.045,0.0448,-186.0187,0.1319,-0.6459,148.1184,3.2027,-0.0017,0.0,0.0,0.0,-0.0002,-23.763,0.7119,0.7028,0.241,0.0,0.3369,0.0,2019-01-11T09:36:00,257.65
SPY,20190111,256.0,PUT,2019-01-11T09:37:00,0.35,0.37,-0.2579,-1.3971,2.2453,-0.0486,0.0484,-184.2879,0.1399,-0.6233,141.1407,2.8143,-0.0016,0.0,0.0,0.0,-0.0002,-21.9024,0.6496,0.6406,0.2608,0.0,0.332,0.0012,2019-01-11T09:37:00,257.48
SPY,20190111,256.0,PUT,2019-01-11T09:38:00,0.35,0.36,-0.2516,-1.3874,2.214,-0.0473,0.0471,-185.1906,0.1377,-0.6313,143.9934,2.9333,-0.0017,0.0,0.0,0.0,-0.0002,-22.5022,0.6692,0.6602,0.2545,0.0,0.3334,0.0,2019-01-11T09:38:00,257.53
SPY,20190111,256.0,PUT,2019-01-11T09:39:00,0.36,0.38,-0.2612,-1.4265,2.254,-0.049,0.0487,-181.8628,0.1396,-0.6102,140.538,2.7052,-0.0016,0.0,0.0,0.0,-0.0002,-20.9135,0.6395,0.6304,0.2641,0.0,0.3359,-0.0003,2019-01-11T09:39:00,257.47
SPY,20190111,256.0,PUT,2019-01-11T09:40:00,0.37,0.38,-0.2625,-1.4236,2.2568,-0.0491,0.0488,-182.8631,0.141,-0.6114,140.358,2.6893,-0.0016,0.0,0.0,0.0,-0.0002,-20.9541,0.6353,0.6263,0.2655,0.0,0.3339,-0.0008,2019-01-11T09:40:00,257.45
SPY,20190111,256.0,PUT,2019-01-11T09:41:00,0.31,0.33,-0.2341,-1.3542,2.1221,-0.0437,0.0435,-188.244,0.1315,-0.6519,151.4785,3.2708,-0.0017,0.0,0.0,0.0,-0.0002,-24.0853,0.7251,0.7161,0.2369,0.0,0.3369,0.0017,2019-01-11T09:41:00,257.67
SPY,20190111,256.0,PUT,2019-01-11T09:42:00,0.36,0.38,-0.2608,-1.4435,2.2434,-0.0485,0.0482,-181.0957,0.1388,-0.6056,141.8282,2.6798,-0.0016,0.0,0.0,0.0,-0.0002,-20.525,0.6407,0.6317,0.2637,0.0,0.3388,0.0022,2019-01-11T09:42:00,257.48
SPY,20190111,256.0,PUT,2019-01-11T09:43:00,0.41,0.42,-0.2894,-1.4626,2.356,-0.0536,0.0534,-181.8787,0.1521,-0.5728,129.2938,2.1902,-0.0014,0.0,0.0,0.0,-0.0002,-18.1107,0.555,0.5463,0.2924,0.0,0.3261,-0.0016,2019-01-11T09:43:00,257.23
SPY,20190111,256.0,PUT,2019-01-11T09:44:00,0.4,0.42,-0.284,-1.4934,2.3325,-0.0525,0.0522,-178.2365,0.1468,-0.5678,132.2237,2.2312,-0.0014,0.0,0.0,0.0,-0.0002,-17.8216,0.5709,0.5619,0.287,0.0,0.3354,0.0,2019-01-11T09:44:00,257.3
SPY,20190111,256.0,PUT,2019-01-11T09:45:00,0.39,0.4,-0.2738,-1.4718,2.2891,-0.0505,0.0502,-180.4571,0.1441,-0.587,137.3062,2.4262,-0.0015,0.0,0.0,0.0,-0.0002,-19.0967,0.6012,0.5922,0.2768,0.0,0.3359,0.0014,2019-01-11T09:45:00,257.37
SPY,20190111,256.0,PUT,2019-01-11T09:46:00,0.35,0.36,-0.2516,-1.4164,2.1904,-0.0463,0.0461,-185.2785,0.1377,-0.625,147.1191,2.8744,-0.0016,0.0,0.0,0.0,-0.0002,-21.8245,0.6694,0.6604,0.2544,0.0,0.3369,-0.0007,2019-01-11T09:46:00,257.53
